Accession Number,Title,Sequence Length,Source of sample,NCBI Link,Geographical location,Host,Article name
JN787178,"Streptococcus anginosus strain SK1428 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787178,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
JN787165,"Streptococcus anginosus strain SK1393 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787165,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov
NR_118320,"Streptococcus anginosus subsp. whileyi strain CCUG 39159 16S ribosomal RNA, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/NR_118320,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993433,"Streptococcus anginosus strain CO1 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993433,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993434,"Streptococcus anginosus strain CO2 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993434,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993435,"Streptococcus anginosus subsp. whileyi strain CO3B 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993435,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993436,"Streptococcus anginosus subsp. whileyi strain CO4B 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993436,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993438,"Streptococcus anginosus strain SK443 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993438,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JX993448,"Streptococcus anginosus strain SK534 16S ribosomal RNA gene, partial sequence",1404.0,oral,https://www.ncbi.nlm.nih.gov/nuccore/JX993448,Japan,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
KC628749,"Streptococcus anginosus strain D3 16S ribosomal RNA gene, partial sequence",1404.0,subgingival calculus,https://www.ncbi.nlm.nih.gov/nuccore/KC628749,Sample: Atatürk University turkey,Patient,Investigation of in vitro Mineral Forming Bacterial Isolates from Subgingival Calculus
JN787164,"Streptococcus anginosus strain SK1390 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787164,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787166,"Streptococcus anginosus strain SK1396 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787166,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787177,"Streptococcus anginosus strain SK1138 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787177,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787167,"Streptococcus anginosus strain SK1401 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787167,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787168,"Streptococcus anginosus strain SK1402 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787168,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787169,"Streptococcus anginosus SK52 = DSM 20563 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787169,Confusion ,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787170,"Streptococcus anginosus strain CCUG 28195 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787170,USA,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787171,"Streptococcus anginosus strain CCUG 11668 16S ribosomal RNA gene, partial sequence",1404.0,Unknown,https://www.ncbi.nlm.nih.gov/nuccore/JN787171,USA,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787173,"Streptococcus anginosus strain CCUG 32886 16S ribosomal RNA gene, partial sequence",1404.0,pleura,https://www.ncbi.nlm.nih.gov/nuccore/JN787173,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787174,"Streptococcus anginosus strain SK1102 16S ribosomal RNA gene, partial sequence",1404.0,blood,https://www.ncbi.nlm.nih.gov/nuccore/JN787174,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787203,"Streptococcus anginosus strain SK1344 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787203,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787176,"Streptococcus anginosus strain SK1426 16S ribosomal RNA gene, partial sequence",1404.0,liver abscess,https://www.ncbi.nlm.nih.gov/nuccore/JN787176,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787202,"Streptococcus anginosus strain SK1341 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787202,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787172,"Streptococcus anginosus strain CCUG 32852 16S ribosomal RNA gene, partial sequence",1404.0,pleura,https://www.ncbi.nlm.nih.gov/nuccore/JN787172,Sweden,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787204,"Streptococcus anginosus strain SK1345 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787204,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787205,"Streptococcus anginosus strain SK1347 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787205,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787220,"Streptococcus anginosus strain SK1320 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787220,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787219,"Streptococcus anginosus strain SK1383 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787219,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787218,"Streptococcus anginosus strain SK1380 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787218,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787217,"Streptococcus anginosus strain SK1377 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787217,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787216,"Streptococcus anginosus strain SK1319 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787216,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787215,"Streptococcus anginosus strain SK1369 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787215,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787214,"Streptococcus anginosus strain SK1368 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787214,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787213,"Streptococcus anginosus strain SK1363 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787213,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787212,"Streptococcus anginosus strain SK1362 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787212,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787211,"Streptococcus anginosus strain SK1357 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787211,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787210,"Streptococcus anginosus strain SK1356 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787210,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787209,"Streptococcus anginosus strain SK1355 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787209,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787208,"Streptococcus anginosus strain SK1318 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787208,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787207,"Streptococcus anginosus strain SK1350 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787207,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
JN787206,"Streptococcus anginosus strain SK1348 16S ribosomal RNA gene, partial sequence",1404.0,throat,https://www.ncbi.nlm.nih.gov/nuccore/JN787206,Denmark,Human,Taxonomy of the Anginosus group of the genus Streptococcus and description of Streptococcus anginosus subsp. whileyi subsp. nov. and Streptococcus constellatus subsp. viborgensis subsp. nov.
MT807654,"Streptococcus anginosus strain 33.5T 16S ribosomal RNA gene, partial sequence",1403.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807654,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MF578816,"Streptococcus anginosus strain K59 16S ribosomal RNA gene, partial sequence",1403.0,periodontal abscess,https://www.ncbi.nlm.nih.gov/nuccore/MF578816,---,Patient,160. Identification of Dominant Bacteria Isolated From Periodontal Abscesses
QSDO01000081,"Streptococcus anginosus strain AM58-6 AM58-6.Scaf81, whole genome shotgun sequence",1403.0,feces,https://www.ncbi.nlm.nih.gov/nuccore/QSDO01000081,China: Shenzhen,Human,A genome reference for cultivated species of the human gut microbiota
MT585448,"Streptococcus anginosus subsp. whileyi strain 690 16S ribosomal RNA gene, partial sequence",1403.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT585448,---,---,-----
KC628758,"Streptococcus anginosus strain D13 16S ribosomal RNA gene, partial sequence",1402.0,dental calculus (subgingival calculus),https://www.ncbi.nlm.nih.gov/nuccore/KC628758,Sample: Atatürk University turkey,Patient,221. Investigation of in vitro Mineral Forming Bacterial Isolates from Subgingival Calculus
AB355609,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: ATCC 33397",1399.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AB355609,,Type strain,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
AB355612,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: IMU107",1399.0,"Abscess, tonsil",https://www.ncbi.nlm.nih.gov/nuccore/AB355612,"Iwate Medical University Hospital, Morioka, Japan",Clinical specimens,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
AB355613,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: IMU112",1399.0,"Abscess, peritoneum",https://www.ncbi.nlm.nih.gov/nuccore/AB355613,"Iwate Medical University Hospital, Morioka, Japan",Clinical specimens,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
AB355614,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: IMU114",1399.0,"Abscess, skin",https://www.ncbi.nlm.nih.gov/nuccore/AB355614,"Iwate Medical University Hospital, Morioka, Japan",Clinical specimens,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
AB355615,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: FW73",1399.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AB355615,---,---,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
NR_112705,"Streptococcus anginosus SK52 = DSM 20563 16S ribosomal RNA, partial sequence",1399.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NR_112705,---,---,Confused
AB355610,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: IMU102",1399.0,"Abscess, skin",https://www.ncbi.nlm.nih.gov/nuccore/AB355610,"Iwate Medical University Hospital, Morioka, Japan",Clinical specimens,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
MT807741,"Streptococcus anginosus strain 74.2T 16S ribosomal RNA gene, partial sequence",1399.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807741,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807726,"Streptococcus anginosus strain 66.2T 16S ribosomal RNA gene, partial sequence",1398.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807726,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
AB355611,"Streptococcus anginosus gene for 16S ribosomal RNA, partial sequence, strain: IMU103",1397.0,"Abscess, abdomen",https://www.ncbi.nlm.nih.gov/nuccore/AB355611,"Iwate Medical University Hospital, Morioka, Japan",Clinical specimens,Molecular and enzymatic characterization of bC-S lyase in Streptococcus constellatus
MT585452,"Streptococcus anginosus subsp. whileyi strain 699 16S ribosomal RNA gene, partial sequence",1396.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MT585452,---,---,-----
MT807472,"Streptococcus anginosus strain 454.1 16S ribosomal RNA gene, partial sequence",1392.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807472,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807725,"Streptococcus anginosus strain 66.1T 16S ribosomal RNA gene, partial sequence",1390.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807725,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807578,"Streptococcus anginosus strain 15.3T 16S ribosomal RNA gene, partial sequence",1389.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807578,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807646,"Streptococcus anginosus strain 31.1T 16S ribosomal RNA gene, partial sequence",1389.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807646,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH817660,"Streptococcus anginosus strain 1 16S ribosomal RNA gene, partial sequence",1388.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817660,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
MH817391,"Streptococcus anginosus strain 17 16S ribosomal RNA gene, partial sequence",1388.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817391,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
MT807287,"Streptococcus anginosus strain 332.1 16S ribosomal RNA gene, partial sequence",1386.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807287,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807824,"Streptococcus anginosus strain 110.2T 16S ribosomal RNA gene, partial sequence",1382.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807824,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807830,"Streptococcus anginosus strain 111.4T 16S ribosomal RNA gene, partial sequence",1382.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807830,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807409,"Streptococcus anginosus strain 412.3 16S ribosomal RNA gene, partial sequence",1381.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807409,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807823,"Streptococcus anginosus strain 110.1T 16S ribosomal RNA gene, partial sequence",1380.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807823,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH817390,"Streptococcus anginosus strain 16 16S ribosomal RNA gene, partial sequence",1380.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817390,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
MT807562,"Streptococcus anginosus strain 11.3T 16S ribosomal RNA gene, partial sequence",1380.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807562,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807829,"Streptococcus anginosus strain 111.3T 16S ribosomal RNA gene, partial sequence",1379.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807829,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807825,"Streptococcus anginosus strain 110.3T 16S ribosomal RNA gene, partial sequence",1378.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807825,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807380,"Streptococcus anginosus strain 387.2 16S ribosomal RNA gene, partial sequence",1375.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807380,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH997762,"Streptococcus anginosus strain 31 16S ribosomal RNA gene, partial sequence",1373.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH997762,---,---,-----
MT807442,"Streptococcus anginosus strain 430.1 16S ribosomal RNA gene, partial sequence",1372.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807442,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807410,"Streptococcus anginosus strain 412.4 16S ribosomal RNA gene, partial sequence",1371.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807410,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807827,"Streptococcus anginosus strain 111.1T 16S ribosomal RNA gene, partial sequence",1370.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807827,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807495,"Streptococcus anginosus strain 464.1M 16S ribosomal RNA gene, partial sequence",1370.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807495,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807563,"Streptococcus anginosus strain 11.4T 16S ribosomal RNA gene, partial sequence",1365.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807563,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807381,"Streptococcus anginosus strain 387.3 16S ribosomal RNA gene, partial sequence",1364.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807381,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH817378,"Streptococcus anginosus strain 2 16S ribosomal RNA gene, partial sequence",1364.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817378,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
AB006119,"Streptococcus anginosus gene for 16S rRNA, partial sequence, strain: GTC820",1363.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AB006119,,,Determination of 23S rRNA sequences from members of the genus Streptococcus and characterization of genetically distinct organisms previously identi¢ed as members of the Streptococcus anginosus group
MT807467,"Streptococcus anginosus strain 452.4 16S ribosomal RNA gene, partial sequence",1362.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807467,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807231,"Streptococcus anginosus strain 303.1 16S ribosomal RNA gene, partial sequence",1359.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807231,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MT807232,"Streptococcus anginosus strain 303.4 16S ribosomal RNA gene, partial sequence",1359.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807232,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH997758,"Streptococcus anginosus strain 22 16S ribosomal RNA gene, partial sequence",1357.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH997758,---,---,-----
AB006120,"Streptococcus anginosus gene for 16S rRNA, partial sequence, strain: GTC821",1355.0,---,https://www.ncbi.nlm.nih.gov/nuccore/AB006120,---,---,Determination of 23S rRNA sequences from members of the genus Streptococcus and characterization of genetically distinct organisms previously identi¢ed as members of the Streptococcus anginosus group
MT807213,"Streptococcus anginosus strain 296.2 16S ribosomal RNA gene, partial sequence",1349.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807213,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MK131295,"Streptococcus anginosus strain 60P.2B1 16S ribosomal RNA gene, partial sequence",1339.0,cervicovaginal fluid sample,https://www.ncbi.nlm.nih.gov/nuccore/MK131295,Mexico,Women,Changes in the diversity of local cervical bacteria in women with cervical cancer receiving antineoplastic treatment
MH817662,"Streptococcus anginosus strain 3 16S ribosomal RNA gene, partial sequence",1339.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH817662,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
NR_118937,"Streptococcus anginosus strain NCTC 10713 16S ribosomal RNA, partial sequence",1334.0,---,https://www.ncbi.nlm.nih.gov/nuccore/NR_118937,---,---,Intrageneric structure of Streptococcus based on comparative analysis of small-subunit rRNA sequences
X58309,S.anginosus 16S rRNA,1334.0,---,https://www.ncbi.nlm.nih.gov/nuccore/X58309,---,---,Intrageneric structure of Streptococcus based on comparative analysis of small-subunit rRNA sequences
ON055608,"Streptococcus anginosus subsp. anginosus strain RMB013 16S ribosomal RNA gene, partial sequence",1333.0,,https://www.ncbi.nlm.nih.gov/nuccore/ON055608,,,-----
MT807441,"Streptococcus anginosus strain 429.4 16S ribosomal RNA gene, partial sequence",1317.0,Subgingival sample,https://www.ncbi.nlm.nih.gov/nuccore/MT807441,Spain,Patient,Tetracycline and multidrug resistance in the oral microbiota: differences between healthy subjects and patients with periodontitis in Spain
MH813973,"Streptococcus anginosus strain MCA12 16S ribosomal RNA gene, partial sequence",1314.0,---,https://www.ncbi.nlm.nih.gov/nuccore/MH813973,---,---,Microbiological assessment of mini screws taken after treatment with orthodontic appliances with mini screws in the upper jaw area
